SowTreat	Cultivar	Block 	PlotNumber 	SowingD	Date 	DAS	S1	S2	S3	S4	S5
S1	Antas 	1	1	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Monti	1	2	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Denmark	1	3	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Leura	1	4	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Narrikup	1	5	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Woogenellup	1	6	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Antas 	2	7	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Woogenellup	2	8	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Denmark	2	9	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Monti	2	10	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Narrikup	2	11	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Leura	2	12	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Woogenellup	3	13	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Antas 	3	14	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Monti	3	15	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Narrikup	3	16	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Denmark	3	17	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Leura	3	18	19/02/2016	1/07/2016	133	0	0	0	0	0
S1	Antas 	1	1	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Monti	1	2	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Denmark	1	3	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Leura	1	4	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Narrikup	1	5	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Woogenellup	1	6	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Antas 	2	7	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Woogenellup	2	8	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Denmark	2	9	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Monti	2	10	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Narrikup	2	11	19/02/2016	15/08/2016	178	0	0	0	0	0
S1	Leura	2	12	19/02/2016	15/08/2016	178	0	0	0	0	0
